text,label,Pattern Category
"Hurry, only 3 left!",Dark,Scarcity
FREE NECKLACE FOR MOM 01Days 01Hrs 35Mins 02Secs,Dark,Urgency
Quick Release,Not Dark,Not Dark Pattern
Blonde/Bleached Hair:Â All colors look great. Silver won't be prominent on bleached hair though.,Not Dark,Not Dark Pattern
"Free Upgrade, Limited Time!\n*DISH Install Not Available*",Dark,Urgency
Chatting,Not Dark,Not Dark Pattern
Specialist Tools,Not Dark,Not Dark Pattern
 Menu Search ,Not Dark,Not Dark Pattern
 Fashion Bags ,Not Dark,Not Dark Pattern
"No thanks, I don't like discounts",Dark,Misdirection
Going Fast: Limited Quantities Left!,Dark,Scarcity
 This is a green tea without the bitterness. ,Not Dark,Not Dark Pattern
Spring Styles ,Not Dark,Not Dark Pattern
Rate & Review ,Not Dark,Not Dark Pattern
"You may cancel your JustFab VIP Membership at any time. There is absolutely no cancellation fee. If you would like to continue receiving selections, then just skip the month by clicking Skip This Month in your Boutique between the 1st and the 5th of the month. You won't be charged and no member credit will be generated for you. If you no longer want to skip the month, then call our Fashion Consultants on 020 36953830 (local rate) Mon-Fri 8:00AM to 8:00PM and Sat-Sun 10:00AM to 6:00PM or cancel your membership via chat.",Dark,Obstruction
Only 498 left,Dark,Scarcity
Cooper Remotes,Not Dark,Not Dark Pattern
Over 38 bought,Dark,Social Proof
 Mitre Saws ,Not Dark,Not Dark Pattern
Christian Dior,Not Dark,Not Dark Pattern
Share this product,Not Dark,Not Dark Pattern
 Space Heaters & Workshop Heaters ,Not Dark,Not Dark Pattern
Hurry! Only a few of these left,Dark,Scarcity
Only 2 Left!,Dark,Scarcity
Animals & Action Figures,Not Dark,Not Dark Pattern
only 2 left,Dark,Scarcity
Only 1 Item Left!,Dark,Scarcity
HAUTELOOK 04:53,Dark,Urgency
Only 1 item left,Dark,Scarcity
 WANNA COLLAB? ,Not Dark,Not Dark Pattern
 PopTop Refine by Product Type: PopTop ,Not Dark,Not Dark Pattern
* Limited Time Offer *\nFREE\nTLPWR1 Test Leads!,Dark,Urgency
Earn FanCash on all purchases!,Not Dark,Not Dark Pattern
Bob's Outreach ,Not Dark,Not Dark Pattern
Cleaning Brushes & Tools,Not Dark,Not Dark Pattern
Sunwayfoto,Not Dark,Not Dark Pattern
85 have it in their cart,Dark,Social Proof
"If you wish to cancel your subscription, you can email us at getflat@flattummyco.com",Dark,Obstruction
No thanks. I'd rather pay full price.,Dark,Misdirection
Only 3 pieces in stock!,Dark,Scarcity
ONLY 3 LEFT IN STOCK.,Dark,Scarcity
Free Embroidery Patterns,Not Dark,Not Dark Pattern
Mixing & Measuring,Not Dark,Not Dark Pattern
"Members may cancel their Membership at any time during their Membership term and receive a full refund, less any benefits/savings received in their current Membership term (for example, Buyerâ€™s Club Discounts received or free shipping). Refunds for completed years completed will not be made, even if the Member did not use any of the benefits during the Membership term. To cancel your membership, please contact our customer service department by contacting us at 1-800-375-3006.",Dark,Obstruction
"To qualify, simply verify your status during checkout on the payment step. We verify through ID.me, our trusted technology partner for secure digital identity verification. ",Not Dark,Not Dark Pattern
"no thanks, I'll save money another day",Dark,Misdirection
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Dark,Social Proof
Only 2 Left In Stock,Dark,Scarcity
 Best-Selling Products ,Not Dark,Not Dark Pattern
LIMITED TIME ONLY!,Dark,Urgency
 Subscribe! Donâ€™t be caught empty handed ,Not Dark,Not Dark Pattern
 Add to Cart ,Not Dark,Not Dark Pattern
"Now 30% off - hurry, limited time offer!",Dark,Urgency
The requested page could not be found,Not Dark,Not Dark Pattern
 View In Your Room ,Not Dark,Not Dark Pattern
 EVO SP All EVO SP parts and accessories ,Not Dark,Not Dark Pattern
 Circa Punches ,Not Dark,Not Dark Pattern
 Riding Culture Neue Lifestyle-Marke bei motoin ,Not Dark,Not Dark Pattern
Ericdress Long Sleeve Mesh Off Shoulder Summer Dress,Not Dark,Not Dark Pattern
Green Tea is made up of properties that have been known to increase caloric expenditure as well as the metabolism of fat,Not Dark,Not Dark Pattern
COLLEGIATE,Not Dark,Not Dark Pattern
Sparkling Elegance,Not Dark,Not Dark Pattern
"To add to Wishlist, please register or sign in.",Not Dark,Not Dark Pattern
HURRY! Only a few left in stock!,Dark,Scarcity
 New In Lunch Boxes ,Not Dark,Not Dark Pattern
 Cayman Islands USD,Not Dark,Not Dark Pattern
"No Thanks, I rather pay full price",Dark,Misdirection
 View All Shoes ,Not Dark,Not Dark Pattern
Someone from Airdrie & 10820 others bought this item recently.,Dark,Social Proof
Rachel Comey,Not Dark,Not Dark Pattern
52 people are looking at this right now.,Dark,Social Proof
1 day 08:15:25,Dark,Urgency
"estiven in Deer Park, United States purchased PreWashâ„¢ 4 oz",Dark,Social Proof
Delivery & Offers Terms,Not Dark,Not Dark Pattern
"Oscar from Cajamarca, Peru purchased",Dark,Social Proof
 New Arrivals,Not Dark,Not Dark Pattern
 Buy Tablets ,Not Dark,Not Dark Pattern
Only 3 Left,Dark,Scarcity
Present your Fave voucher (it's in the Purchases tab under My Fave) at the outlet.,Not Dark,Not Dark Pattern
ONLY 1 REMAINING,Dark,Scarcity
Point & Shoots,Not Dark,Not Dark Pattern
Already have an account?,Not Dark,Not Dark Pattern
" Mystic Topaz: Rings, Earrings, Necklaces and Bracelets ",Not Dark,Not Dark Pattern
Necessary Protection..,Dark,Misdirection
Joybird Design House,Not Dark,Not Dark Pattern
What is a cookie?,Not Dark,Not Dark Pattern
Someone in Spain purchased,Dark,Social Proof
LIMITED QUANTITY,Dark,Scarcity
View All Tops,Not Dark,Not Dark Pattern
02:06:40 left to buy,Dark,Urgency
Limited Edition Honeycomb Necklace (Bee Inspired) Someone purchased a Limited Edition Honeycomb Necklace (Bee Inspired),Dark,Social Proof
"NO THANKS, I'll PAY FULL PRICE",Dark,Misdirection
13 people have added this to their cart,Dark,Social Proof
Panther Anole,Not Dark,Not Dark Pattern
Last chance! Only 1 left,Dark,Scarcity
AccessoriesCar AccessoriesDressesFootwearHome & OfficeJacketsLawn & OutdoorsPantsPolosShirts & SweatersShortsSleepwear & UnderwearSwim CollectionTailgatingSale Items- View All -,Not Dark,Not Dark Pattern
Pay weekly ,Not Dark,Not Dark Pattern
"YOU MAY CANCEL YOUR WINE CLUB MEMBERSHIP OR ANY HOLIDAY SHIPMENTS AT ANY TIME BY CONTACTING US AT 1-877-975-9463, AND WE WILL PROMPTLY STOP PROCESSING THE RECURRING PAYMENTS.",Dark,Obstruction
I have green eyes and with these bright green contacts makes my eyes look out of this world amazing. I love them and they have lasted months!!,Not Dark,Not Dark Pattern
Sale ends soon:,Dark,Urgency
Only 16531 items left in stock!,Dark,Scarcity
Want a special deal? Bundle and SAVE UPTO30%,Dark,Misdirection
4 people have purchased this item,Dark,Social Proof
BABY BOYSShoesClothingAccessories,Not Dark,Not Dark Pattern
NEED ADDITIONAL HELP?,Not Dark,Not Dark Pattern
"These cookies are necessary for the website to function and cannot be switched off in our system. These cookies are usually only set in response to actions made by you which include a request for services, such as setting your privacy preferences or logging into your account.",Not Dark,Not Dark Pattern
Only 3 Left!,Dark,Scarcity
High-Waisted Shorts,Not Dark,Not Dark Pattern
 Sign In / Join ,Not Dark,Not Dark Pattern
We only have few stocks left for this product. Please don't miss the chance.,Dark,Scarcity
"Click here to use our website with more accessibility support, for example screen readers",Not Dark,Not Dark Pattern
Your order is reserved for 09:35 minutes!,Dark,Urgency
LIMITED TIME ONLY *on select models,Dark,Urgency
 Mixed Media ,Not Dark,Not Dark Pattern
BE QUICK 00:57:33 DON'T MISS OUT,Dark,Urgency
New In ,Not Dark,Not Dark Pattern
Remove selected car filter,Not Dark,Not Dark Pattern
35% OFF EVERYTHING* EXCL SALE & BEAUTY ENTER: DOLL35 - HURRY! ENDS IN  16H 59M 06S,Dark,Urgency
Shipping and Duties,Not Dark,Not Dark Pattern
Order by these dates to get it by Valentine's Day.*,Not Dark,Not Dark Pattern
NFL Enterprises LLC. All Rights Reserved.,Not Dark,Not Dark Pattern
LOGIN/REGISTER,Dark,Misdirection
00Days17Hours12Mins13Secs,Dark,Urgency
 Women's Bags ,Not Dark,Not Dark Pattern
"We're sorry, this store is closed.",Not Dark,Not Dark Pattern
3 people are looking at this item right now,Dark,Social Proof
"Someone from Menlo Park, California just purchased Electric Skateboard Motor 6374 190KV.",Dark,Social Proof
"Hurry, Limited Time Offer! 11:25",Dark,Urgency
 Search Close ,Not Dark,Not Dark Pattern
"touching, funny and romantic",Not Dark,Not Dark Pattern
"We'd like to keep you informed via email about product updates, upgrades, special offers and pricing. If you do not wish to be contacted via email, please ensure that the box is not checked.",Dark,Misdirection
Only 2 stock available,Dark,Scarcity
Hurry! Only 3 Left In Stock.,Dark,Scarcity
"â—ŠAfter 1 year, subscription auto renews with fee. Review your iFitÂ® Coach account on a computer, tablet, smartphone, or equipment console.",Dark,Sneaking
" Sorry, we could not process your request at the moment. Please try again in a few minutes. ",Not Dark,Not Dark Pattern
 Jersey GBP,Not Dark,Not Dark Pattern
My Account ,Not Dark,Not Dark Pattern
"No Thanks, I Don't Want a Discount",Dark,Misdirection
Hair Grooming Appliances,Not Dark,Not Dark Pattern
"WOULD YOU LIKE A FREE NEXT DIRECTORY? Explore all the latest collections from your free Next Directory. By opting in to receive the Next Directory you agree that we may send you, at our discretion, further Directories usually in January and July each year, at a charge of Â£3.75 per publication. You also agree to receive supplementary Directories and â€˜New Inâ€™ publications at no additional charge.",Dark,Sneaking
Pedal Refresh Kit - Doubleshot,Not Dark,Not Dark Pattern
I'd rather pay full price,Dark,Misdirection
Hurry up! Sales Ends in DAYS HRS MINS SECS by Beeketing ,Dark,Urgency
Only 8 items left in stock!,Dark,Scarcity
ONLY 1 LEFT IN STOCK!,Dark,Scarcity
Subscribe & Save (15%): $ 16.99,Dark,Misdirection
Shop Plus Shorts by Pattern,Not Dark,Not Dark Pattern
 Dry Direct Incontinence Personal Care Daily Living Safety Bedroom Nutrition Mobility Lift Aids Medical Supplies Plus Size ,Not Dark,Not Dark Pattern
Clarity Remotes,Not Dark,Not Dark Pattern
Summary,Not Dark,Not Dark Pattern
 Limited Edition Colors ,Not Dark,Not Dark Pattern
"For instance, we use cookies allowing us to remember information provided by the users from a page to another, choices made by users and information provided by users (name, language preference, country of residenceâ€¦). In particular, we use the following functional cookies: ",Not Dark,Not Dark Pattern
FRAMON #2 Code Machine Offer - Limited time offer!,Dark,Urgency
Jewelry and Watches,Not Dark,Not Dark Pattern
Limited stock!,Dark,Scarcity
Hurry! Only 2 left in stock!,Dark,Scarcity
*,Not Dark,Not Dark Pattern
SLEEP EVENT OFFERS - LIMITED TIME ONLY,Dark,Urgency
This chart should be used as a guide only. Due to each manufacturerâ€™s size scale inconsistencies may occur.,Not Dark,Not Dark Pattern
Only 1 left in Stock!,Dark,Scarcity
Competitions,Not Dark,Not Dark Pattern
 Shop All Men's Boots ,Not Dark,Not Dark Pattern
Expand My eBay,Not Dark,Not Dark Pattern
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Dark,Social Proof
"Jumpers, Shirts & T-Shirts",Not Dark,Not Dark Pattern
Media Players,Not Dark,Not Dark Pattern
Only 3 left In Stock,Dark,Scarcity
Father's Day Gifts,Not Dark,Not Dark Pattern
Enjoy FREE shipping with WSJwine Advantage,Dark,Sneaking
only 2 left!,Dark,Scarcity
Only 1 in stock,Dark,Scarcity
Only 8 item(s) left.,Dark,Scarcity
Spring Sale Extended,Dark,Urgency
"No, I don't want a discount",Dark,Misdirection
"No thanks, I don't want the free gift.",Dark,Misdirection
Extra Soft Cleansing Wipes,Not Dark,Not Dark Pattern
Men's Accessories ,Not Dark,Not Dark Pattern
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Dark,Social Proof
SAVE $300.00\nfor limited time,Dark,Urgency
Enter Catalog/Email Code,Not Dark,Not Dark Pattern
"[NO THANKS, I'LL JUST WALK]",Dark,Misdirection
Yaris Remotes,Not Dark,Not Dark Pattern
Currently 8 left in stock.,Dark,Scarcity
"NO, I DON'T FEEL LUCKY",Dark,Misdirection
Currently less than 10 available,Dark,Scarcity
Ends Sunday! $200 off any mattress . free shipping & free returns!,Dark,Urgency
Stay on Next.co.uk,Not Dark,Not Dark Pattern
Only 8 left!,Dark,Scarcity
Only 1 items left in stock!,Dark,Scarcity
___,Not Dark,Not Dark Pattern
View All Home Accessories,Not Dark,Not Dark Pattern
"Healing Crystals are natural beings just like the trees, mountain or flowers. The result of diverse chemical reactions inside the earth over a millennium, gemstones are a true wonder of nature. When you touch a healing crystal, there is a transfer of heat and energy that leads to activation of chakra points. These therapeutic powers noticed in the presence of gemstones are the reason they are called healing crystals. With some crystals as old as the earth, there is immense wisdom in crystal use.",Not Dark,Not Dark Pattern
How to cast on,Not Dark,Not Dark Pattern
Tree Frog Terrariums,Not Dark,Not Dark Pattern
9 people are currently viewing this product,Dark,Social Proof
ONLY 1 WATCH LEFT,Dark,Scarcity
2+ people just viewed this product,Dark,Social Proof
94% offers claimed. Hurry up!,Dark,Scarcity
I'D RATHER PAY FULL PRICE,Dark,Misdirection
KidsAuthentic,Not Dark,Not Dark Pattern
*** Get 50% Off Your 2nd Case OR a Canopy Screen Protector *** A 50% OFF discount will be automatically applied to the lowest priced item in your cart when you check out with more than one item! (excludes Clearance items) Click to Choose Another Item,Dark,Misdirection
Country (Optional),Not Dark,Not Dark Pattern
Hair treatments,Not Dark,Not Dark Pattern
Product Recycling,Not Dark,Not Dark Pattern
Purchase protection added,Dark,Sneaking
Only 6 items left,Dark,Scarcity
39 people have this in their cart,Dark,Social Proof
 Sunflower ,Not Dark,Not Dark Pattern
23% left in stock!,Dark,Scarcity
Gold Collection,Not Dark,Not Dark Pattern
In Stock. Only 1 Left!,Dark,Scarcity
Status:Only 3 left in stock,Dark,Scarcity
No thanks - I don't want to save money,Dark,Misdirection
Amazing service and quality! Lee up the excellent work.,Not Dark,Not Dark Pattern
Today's sale ends in: 00hours:57min:19sec,Dark,Urgency
ONLY 7 LEFT!,Dark,Scarcity
"Business, Office & Industrial",Not Dark,Not Dark Pattern
My Story,Not Dark,Not Dark Pattern
8 people are looking at this artwork,Dark,Social Proof
 Coffee ,Not Dark,Not Dark Pattern
Add on something to make it extra special!,Dark,Misdirection
 Take time to pay.,Not Dark,Not Dark Pattern
OFFER ENDS 00:54:59,Dark,Urgency
Other Items On Special Offer:,Dark,Misdirection
"You may change the items in your order, or cancel the Smartship at anytime, up until 3 days prior to the scheduled ship date of your Smartship by calling Customer Service at 1-800-518-0284.",Dark,Obstruction
LIMITED TIME SALE,Dark,Urgency
"NO THANKS, I DON'T WANT TO SAVE",Dark,Misdirection
Authenticity Guaranteed,Not Dark,Not Dark Pattern
 GeekVape Pursue a Healthy Vaping Experience ,Not Dark,Not Dark Pattern
320 items left,Dark,Scarcity
HURRY! 3 left in stock!,Dark,Scarcity
Nectar,Not Dark,Not Dark Pattern
 My Project Lists ,Not Dark,Not Dark Pattern
Adjustable Cuffs With Inner Knitted Cuff,Not Dark,Not Dark Pattern
Tribeca Remotes,Not Dark,Not Dark Pattern
Brand ,Not Dark,Not Dark Pattern
I would like to join Backstage Pass & agree to the Terms & Conditions & to receive emails & other promotional offers.,Dark,Forced Action
"The Dry Direct Ultimate is a great product, the best we have found. Customer service is very efficient, and deliveries have always been on time. We are very satisfied with Parentgiving in all aspects.",Not Dark,Not Dark Pattern
(ONLY 1 LEFT IN THIS SIZE!),Dark,Scarcity
Only 65 Items Left.,Dark,Scarcity
Only 3 left in stock.,Dark,Scarcity
I Don't Like to Save Money,Dark,Misdirection
"In Stock, Only 1 Left!",Dark,Scarcity
Really good quality contacts and they work well on my eyes. Would definitely order again!!!!,Not Dark,Not Dark Pattern
Explosive Offers! 80% Off Everything 07:25:41,Dark,Urgency
Warne Mounts,Not Dark,Not Dark Pattern
Report a Fake Product,Not Dark,Not Dark Pattern
 Shop All NFL ,Not Dark,Not Dark Pattern
Tapestry Guide,Not Dark,Not Dark Pattern
Only 4 left,Dark,Scarcity
I absolutely loved it! It made everyone laugh and my desk gets an obscene amount of compliments for it. The quality is superb! I am now definitely going to be a loyal shopper at PosterGully,Not Dark,Not Dark Pattern
Decades Shop,Not Dark,Not Dark Pattern
I'LL PAY FULL PRICE,Dark,Misdirection
gifts for wife,Not Dark,Not Dark Pattern
Hurry only 1 left!,Dark,Scarcity
Only 8 item(s) left,Dark,Scarcity
"No thanks, Iâ€™d rather not win.",Dark,Misdirection
